watch_date,device_type,watch_duration_minutes,progress_percentage,action,quality,is_download,age,gender,country,subscription_plan,subscription_start_date,is_active,monthly_spend,household_size,title,content_type,genre_primary,release_year,duration_minutes,maturity_level,language,country_of_origin,imdb_rating,is_netflix_original,added_to_platform,content_warning
4/29/2025,Tablet,41.10,82.50,stopped,4K,FALSE,43.00,Male,USA,Basic,2023-12-12,TRUE,9.42,7.00,Story Warrior,Movie,Music,1998,129,Adult,English,Canada,10.00,FALSE,2021-07-11,FALSE
10/20/2024,Laptop,17.10,93.90,paused,4K,FALSE,19.00,Female,USA,Premium,2024-10-06,TRUE,13.72,2.00,Night Love,Movie,Animation,2005,98,Kids,English,South Korea,6.20,FALSE,2022-12-11,FALSE
3/14/2024,Desktop,67.40,69.30,paused,4K,FALSE,35.00,Male,USA,Basic,2022-09-15,TRUE,15.44,4.00,Hero King,Movie,Sci-Fi,2011,109,Adult,Spanish,USA,4.00,FALSE,2023-12-20,FALSE
11/18/2025,Tablet,7.50,45.40,completed,HD,FALSE,59.00,Female,CANADA,Standard,2024-11-20,TRUE,19.72,2.00,City Dream,Movie,Adventure,2014,121,Teens,Korean,USA,6.90,TRUE,2021-02-08,FALSE
2/5/2025,Mobile,102.10,33.10,completed,HD,FALSE,33.00,Female,USA,Premium,2024-11-17,FALSE,2.55,2.00,Dark Day,Limited Series,Animation,1991,18,Teens,English,Canada,5.80,FALSE,2025-04-30,FALSE
1/15/2025,Mobile,19.00,47.10,completed,SD,TRUE,45.00,Male,CANADA,Premium,2023-12-29,TRUE,17.20,3.00,Love Empire,Documentary,War,2012,66,Kids,English,Canada,5.50,FALSE,2021-10-10,TRUE
1/30/2025,Laptop,129.10,26.50,paused,Ultra HD,TRUE,25.00,Female,USA,Premium+,2023-06-17,TRUE,20.39,2.00,Kingdom Day,Movie,Thriller,2023,111,Adult,English,Germany,4.60,FALSE,2024-03-03,FALSE
7/17/2024,Mobile,6.80,35.60,paused,4K,FALSE,37.00,Female,USA,Premium,2023-07-16,TRUE,20.06,4.00,Dream Journey,Movie,Romance,2013,138,Family,English,Germany,8.60,FALSE,2021-01-20,TRUE
3/14/2025,Laptop,21.70,96.80,stopped,HD,TRUE,21.00,Female,USA,Premium+,2023-10-29,TRUE,4.70,1.00,Old Empire,Movie,Thriller,1991,118,Teens,Spanish,USA,4.90,FALSE,2025-06-14,TRUE
7/2/2024,Desktop,79.30,76.70,started,HD,FALSE,36.00,Female,USA,Standard,2024-07-27,TRUE,6.43,1.00,War Fire,Movie,Comedy,1998,60,Teens,English,USA,4.80,FALSE,2024-03-28,FALSE
10/11/2025,Laptop,65.30,50.20,completed,HD,FALSE,41.00,Male,USA,Basic,2023-09-14,TRUE,10.33,5.00,Dark Legend,Movie,Sci-Fi,1956,125,Kids,English,Canada,6.20,FALSE,2025-03-22,FALSE
4/5/2025,Mobile,2.10,20.20,paused,HD,FALSE,42.00,Female,CANADA,Premium,2023-02-12,TRUE,20.47,4.00,Adventure Legend,Tv Series,Adventure,2004,62,Kids,Korean,USA,6.30,FALSE,2022-03-04,FALSE
3/2/2024,Laptop,48.60,25.30,stopped,Ultra HD,FALSE,37.00,Male,USA,Premium,2024-03-16,TRUE,4.79,2.00,Dream City,Tv Series,Documentary,2008,39,Kids,French,USA,4.40,TRUE,2022-09-02,FALSE
12/5/2025,Laptop,38.90,68.60,started,4K,TRUE,29.00,Male,USA,Standard,2023-01-22,TRUE,24.36,2.00,Our Battle,Tv Series,War,2018,26,Teens,English,USA,6.40,TRUE,2024-12-03,FALSE
5/18/2024,Mobile,62.00,17.20,paused,4K,TRUE,35.00,Male,USA,Premium,2023-03-30,TRUE,21.21,2.00,Bright Family,Movie,Documentary,1997,65,Adult,English,USA,7.90,FALSE,2020-09-13,FALSE
8/16/2024,Smart TV,63.60,26.80,completed,4K,FALSE,5.00,Male,CANADA,Standard,2023-10-10,TRUE,14.00,2.00,Empire Mystery,Tv Series,Drama,2024,38,Teens,English,Japan,7.10,FALSE,2021-09-19,FALSE
10/14/2024,Mobile,22.00,56.20,completed,HD,FALSE,36.00,Male,USA,Standard,2023-05-29,TRUE,21.47,3.00,Dragon Warrior,Movie,History,2011,122,Adult,Hindi,USA,6.30,TRUE,2023-06-05,FALSE
10/24/2024,Mobile,28.00,19.60,stopped,HD,FALSE,49.00,Female,USA,Basic,2024-12-03,TRUE,19.65,1.00,Bright Phoenix,Documentary,Drama,2021,84,Kids,English,UK,7.90,TRUE,2023-05-09,FALSE
10/23/2025,Tablet,32.70,15.30,completed,HD,FALSE,41.00,Female,USA,Standard,2025-02-11,TRUE,5.09,2.00,City Storm,Documentary,War,2009,67,Teens,Hindi,USA,6.50,FALSE,2025-07-14,FALSE
10/1/2024,Smart TV,26.80,61.20,stopped,Ultra HD,TRUE,25.00,Female,USA,Standard,2025-02-19,TRUE,12.55,2.00,Princess Battle,Movie,Fantasy,2011,90,Kids,English,France,6.50,FALSE,2024-10-25,FALSE
5/14/2025,Desktop,56.20,49.60,stopped,SD,FALSE,52.00,Male,USA,Premium,2022-12-01,FALSE,5.25,2.00,Love Journey,Limited Series,Animation,2019,60,Adult,French,USA,6.70,TRUE,2021-04-26,FALSE
8/17/2025,Smart TV,60.30,23.10,stopped,HD,FALSE,30.00,Other,CANADA,Premium,2023-07-26,FALSE,7.82,2.00,Dark Day,Limited Series,Animation,1991,18,Teens,English,Canada,5.80,FALSE,2025-04-30,FALSE
7/18/2025,Tablet,26.30,100.00,started,HD,FALSE,27.00,Male,USA,Premium+,2022-10-11,TRUE,1.85,2.00,Princess Dream,Movie,Adventure,2007,92,Adult,English,Germany,9.20,FALSE,2021-03-16,FALSE
3/10/2024,Mobile,48.50,2.70,completed,HD,FALSE,25.00,Male,USA,Basic,2024-03-14,TRUE,28.04,2.00,Queen Journey,Tv Series,War,2001,51,Adult,Spanish,South Korea,5.50,FALSE,2021-06-17,FALSE
6/8/2024,Desktop,40.00,18.80,started,SD,TRUE,49.00,Male,USA,Premium,2023-04-22,TRUE,11.71,3.00,Queen Legend,Tv Series,Sport,1995,40,Kids,French,UK,5.10,FALSE,2023-10-17,FALSE
12/9/2025,Mobile,18.20,25.20,completed,HD,FALSE,16.00,Female,CANADA,Basic,2025-02-19,FALSE,9.56,2.00,Secret Ice,Movie,Romance,2020,152,Kids,English,UK,0.90,FALSE,2022-11-01,TRUE
8/18/2024,Desktop,23.60,49.60,completed,HD,TRUE,23.00,Female,CANADA,Basic,2022-10-05,TRUE,19.35,4.00,A Love,Tv Series,Music,1992,23,Kids,English,India,8.30,FALSE,2020-08-30,FALSE
2/10/2024,Smart TV,4.40,49.60,started,HD,FALSE,35.00,Female,CANADA,Standard,2023-05-04,TRUE,4.48,6.00,City Mystery,Movie,Horror,2002,116,Teens,English,USA,5.60,FALSE,2024-11-07,FALSE
8/8/2024,Mobile,116.20,49.60,completed,HD,FALSE,35.00,Prefer not to say,USA,Basic,2024-02-20,TRUE,5.71,2.00,Legend Love,Documentary,War,1997,66,Family,English,USA,5.20,FALSE,2025-05-30,FALSE
1/8/2025,Mobile,83.80,43.00,paused,Ultra HD,TRUE,20.00,Male,USA,Premium,2022-09-19,TRUE,18.44,4.00,Mystery Legend,Stand-Up Comedy,Music,2004,69,Family,German,Germany,6.30,FALSE,2021-09-09,TRUE
11/1/2024,Smart TV,69.30,6.00,stopped,HD,FALSE,46.00,Male,USA,Premium,2024-12-28,TRUE,12.36,3.00,Mission Dream,Movie,Biography,2017,82,Teens,Spanish,USA,5.90,TRUE,2021-10-30,FALSE
6/2/2025,Desktop,90.10,43.80,stopped,SD,FALSE,35.00,Male,USA,Standard,2022-09-16,TRUE,46.63,2.00,Our Night,Movie,Biography,2005,143,Family,English,USA,3.40,FALSE,2022-11-05,FALSE
5/4/2025,Laptop,62.80,5.10,started,4K,FALSE,35.00,Male,CANADA,Premium,2023-12-31,TRUE,6.51,5.00,Queen Adventure,Movie,Adventure,2019,108,Family,English,France,5.50,FALSE,2023-08-25,FALSE
2/2/2025,Smart TV,10.40,3.20,completed,HD,FALSE,40.00,Male,CANADA,Standard,2025-04-05,TRUE,4.55,1.00,Mystery City,Documentary,Music,2010,93,Adult,English,Germany,6.00,TRUE,2024-06-22,FALSE
4/18/2024,Smart TV,4.10,48.00,stopped,HD,FALSE,19.00,Male,USA,Premium,2024-06-24,FALSE,3.10,5.00,Last City,Documentary,Animation,1994,115,Family,Japanese,South Korea,5.80,FALSE,2021-07-03,FALSE
8/19/2024,Desktop,84.70,17.00,stopped,HD,FALSE,49.00,Female,USA,Standard,2025-07-11,TRUE,14.44,3.00,Storm Love,Documentary,Sci-Fi,2024,102,Teens,Italian,Canada,6.30,TRUE,2021-05-24,FALSE
6/17/2024,Mobile,711.20,95.50,completed,4K,FALSE,55.00,Prefer not to say,USA,Premium,2025-07-11,FALSE,8.49,2.00,Mystery Love,Movie,Drama,1996,87,Kids,French,South Korea,8.60,TRUE,2025-03-25,TRUE
12/15/2024,Tablet,85.40,31.80,paused,HD,FALSE,19.00,Female,USA,Basic,2023-09-25,FALSE,27.11,8.00,Dragon Day,Documentary,Western,2011,91,Teens,English,USA,5.40,FALSE,2023-06-07,FALSE
9/28/2025,Desktop,152.00,11.60,started,HD,FALSE,46.00,Male,USA,Standard,2024-03-08,TRUE,8.82,4.00,Dream Hero,Movie,Adventure,2004,174,Kids,English,France,9.00,TRUE,2024-02-04,FALSE
4/18/2025,Tablet,19.90,84.10,paused,4K,FALSE,54.00,Male,USA,Premium,2024-03-10,FALSE,4.46,2.00,Empire Battle,Movie,Family,2023,108,Kids,English,USA,6.80,TRUE,2023-05-30,FALSE
8/9/2025,Tablet,81.50,36.90,completed,4K,FALSE,35.00,Male,CANADA,Premium,2023-09-24,TRUE,15.65,2.00,City Night,Movie,Romance,2017,93,Teens,Korean,UK,8.50,TRUE,2022-03-23,TRUE
6/9/2024,Desktop,45.70,49.60,completed,4K,FALSE,41.00,Prefer not to say,USA,Premium,2023-06-23,TRUE,2.72,3.00,New City,Movie,Drama,2011,72,Family,English,USA,6.40,FALSE,2021-03-05,TRUE
8/12/2025,Tablet,42.00,59.90,paused,4K,FALSE,42.00,Male,USA,Premium,2024-01-12,TRUE,12.06,2.00,An War,Tv Series,Comedy,2009,47,Adult,French,Germany,8.10,FALSE,2022-02-21,FALSE
11/27/2025,Smart TV,56.50,85.40,completed,Ultra HD,FALSE,22.00,Male,USA,Standard,2022-10-22,TRUE,20.62,1.00,Kingdom Day,Movie,Action,1996,89,Family,English,UK,5.90,FALSE,2023-01-14,FALSE
3/30/2025,Laptop,72.50,97.40,stopped,4K,FALSE,49.00,Male,USA,Premium+,2025-06-15,TRUE,1.40,3.00,Queen Empire,Movie,Fantasy,2022,87,Teens,Spanish,USA,7.20,TRUE,2022-03-03,FALSE
9/2/2025,Laptop,24.00,49.60,started,HD,FALSE,30.00,Male,CANADA,Standard,2023-09-14,TRUE,9.80,2.00,Story Mystery,Movie,Sci-Fi,2024,115,Kids,English,USA,6.40,TRUE,2025-04-25,FALSE
12/1/2024,Desktop,107.20,72.50,completed,SD,FALSE,54.00,Female,USA,Premium,2023-11-17,FALSE,9.29,2.00,Our Queen,Movie,Western,2010,105,Family,English,Canada,5.00,TRUE,2022-01-10,FALSE
12/27/2025,Tablet,4.60,43.00,started,4K,TRUE,35.00,Female,CANADA,Basic,2024-08-11,TRUE,15.08,1.00,Hero Kingdom,Movie,Fantasy,1995,166,Kids,English,USA,7.50,TRUE,2022-11-10,FALSE
11/8/2025,Mobile,46.80,57.70,paused,4K,TRUE,23.00,Female,CANADA,Premium,2023-05-11,TRUE,5.80,2.00,House House,Stand-Up Comedy,Western,2012,60,Teens,English,South Korea,7.00,TRUE,2021-09-19,FALSE
1/20/2024,Desktop,67.30,36.70,paused,4K,FALSE,24.00,Male,USA,Standard,2024-08-25,TRUE,20.41,2.00,Last Hero,Movie,Adventure,1956,123,Family,English,Canada,8.10,FALSE,2023-10-13,FALSE
12/13/2024,Mobile,100.30,71.10,stopped,HD,FALSE,49.00,Female,USA,Premium,2023-06-06,TRUE,0.11,5.00,Princess Phoenix,Movie,Adventure,2011,116,Family,English,France,7.60,TRUE,2021-04-04,FALSE
11/28/2024,Desktop,31.40,79.50,completed,HD,FALSE,35.00,Female,USA,Basic,2025-03-15,TRUE,8.20,2.00,Adventure Secret,Documentary,Adventure,1999,104,Adult,Japanese,USA,8.20,TRUE,2023-11-14,FALSE
9/5/2024,Mobile,41.60,51.90,completed,4K,FALSE,55.00,Female,USA,Basic,2024-02-28,TRUE,7.88,1.00,Empire Adventure,Documentary,Documentary,2001,71,Adult,English,UK,1.20,FALSE,2022-10-12,FALSE
9/6/2025,Mobile,62.50,51.70,completed,HD,TRUE,20.00,Female,CANADA,Premium,2024-03-10,FALSE,8.62,2.00,First Ice,Stand-Up Comedy,Thriller,2007,61,Teens,English,USA,6.00,FALSE,2025-01-11,TRUE
3/27/2025,Laptop,27.40,41.50,paused,SD,FALSE,49.00,Male,USA,Standard,2023-11-18,TRUE,26.95,2.00,An Ice,Movie,History,2019,111,Teens,English,France,6.00,TRUE,2023-07-16,FALSE
1/11/2024,Tablet,193.90,75.10,paused,HD,FALSE,35.00,Male,USA,Basic,2024-10-30,TRUE,13.57,4.00,Warrior Kingdom,Movie,War,2003,81,Family,English,South Korea,4.80,FALSE,2022-11-26,FALSE
12/21/2025,Desktop,4.20,54.80,completed,4K,TRUE,34.00,Male,USA,Basic,2022-12-27,FALSE,6.56,3.00,Phoenix Story,Tv Series,Music,2010,45,Teens,English,Canada,8.00,FALSE,2024-04-11,FALSE
4/20/2024,Desktop,7.80,84.50,completed,SD,TRUE,35.00,Female,CANADA,Standard,2024-06-17,FALSE,2.58,2.00,Legend War,Stand-Up Comedy,Western,2007,80,Teens,English,USA,6.50,TRUE,2023-11-07,FALSE
10/24/2024,Smart TV,96.30,51.30,paused,HD,TRUE,35.00,Female,USA,Premium+,2023-04-13,TRUE,41.10,5.00,Day Warrior,Stand-Up Comedy,Documentary,2024,44,Kids,Spanish,South Korea,6.00,TRUE,2021-10-10,FALSE
7/27/2025,Smart TV,13.50,1.70,stopped,SD,FALSE,38.00,Male,USA,Premium,2023-09-27,TRUE,10.56,4.00,Dragon Family,Stand-Up Comedy,Music,2005,54,Kids,English,USA,6.90,FALSE,2021-07-18,FALSE
3/30/2025,Laptop,36.30,90.90,paused,SD,FALSE,18.00,Prefer not to say,USA,Basic,2023-06-15,TRUE,17.10,2.00,Hero Ice,Movie,Comedy,1999,101,Family,English,USA,6.80,FALSE,2023-07-24,FALSE
5/8/2025,Mobile,56.10,44.70,completed,HD,FALSE,42.00,Male,USA,Premium,2024-12-29,TRUE,1.32,2.00,House King,Movie,Adventure,1994,136,Adult,English,South Korea,5.30,FALSE,2021-03-02,FALSE
2/20/2025,Smart TV,27.30,15.40,stopped,HD,FALSE,39.00,Female,CANADA,Premium,2023-06-15,TRUE,14.31,2.00,Ice Secret,Movie,Animation,2016,93,Family,English,USA,8.00,TRUE,2023-02-19,FALSE
2/9/2025,Mobile,19.20,7.30,stopped,HD,FALSE,46.00,Female,USA,Premium,2023-08-21,TRUE,5.95,3.00,Adventure Phoenix,Limited Series,Documentary,2009,61,Family,English,South Korea,7.10,TRUE,2024-06-20,FALSE
8/28/2025,Tablet,18.70,60.30,completed,4K,FALSE,37.00,Male,CANADA,Basic,2024-02-11,TRUE,8.73,3.00,A Adventure,Stand-Up Comedy,Crime,2024,70,Kids,English,USA,5.90,FALSE,2024-01-20,FALSE
4/2/2024,Mobile,77.40,83.90,stopped,HD,FALSE,31.00,Male,USA,Standard,2025-06-08,TRUE,18.30,1.00,Our City,Movie,Crime,1999,113,Adult,English,France,6.50,FALSE,2024-07-19,TRUE
4/21/2024,Smart TV,69.20,30.60,completed,SD,FALSE,27.00,Female,USA,Premium,2024-02-09,TRUE,14.45,2.00,Ice Kingdom,Documentary,Animation,2003,107,Family,English,USA,8.70,FALSE,2021-12-24,TRUE
1/5/2025,Desktop,89.70,41.30,completed,Ultra HD,FALSE,13.00,Male,USA,Premium,2024-03-27,TRUE,13.45,2.00,Adventure Love,Movie,Music,2009,161,Family,English,USA,8.80,FALSE,2021-10-29,FALSE
6/18/2024,Laptop,48.00,46.50,started,HD,FALSE,16.00,Male,USA,Basic,2024-10-13,TRUE,24.61,3.00,Fire Mystery,Tv Series,Horror,1997,28,Family,French,USA,4.60,TRUE,2024-03-21,FALSE
1/16/2024,Mobile,52.00,99.00,started,HD,FALSE,52.00,Male,USA,Premium,2024-07-21,TRUE,9.08,4.00,Empire Dragon,Limited Series,Fantasy,2016,41,Adult,English,USA,6.20,TRUE,2024-01-10,FALSE
6/29/2025,Smart TV,63.10,49.60,paused,4K,FALSE,35.00,Female,USA,Basic,2023-01-02,FALSE,13.29,3.00,House Secret,Movie,Sport,2020,127,Kids,English,USA,4.80,FALSE,2023-02-02,FALSE
3/18/2024,Smart TV,52.10,19.80,started,4K,FALSE,35.00,Male,USA,Standard,2022-11-13,TRUE,12.47,1.00,Queen House,Tv Series,Fantasy,2015,44,Family,English,Canada,7.90,TRUE,2025-03-15,FALSE
7/22/2025,Tablet,114.40,30.20,stopped,HD,FALSE,49.00,Male,USA,Standard,2023-06-04,TRUE,28.37,2.00,City Legend,Tv Series,War,1997,44,Family,English,USA,7.70,TRUE,2024-01-14,FALSE
1/18/2024,Mobile,66.00,26.00,started,HD,FALSE,43.00,Prefer not to say,CANADA,Premium,2024-02-06,TRUE,8.41,7.00,Quest Warrior,Movie,Comedy,2001,83,Kids,English,France,6.50,FALSE,2023-09-28,FALSE
3/11/2024,Smart TV,65.20,85.80,paused,HD,FALSE,35.00,Male,USA,Standard,2022-11-13,TRUE,12.47,1.00,Storm Day,Tv Series,Western,1998,53,Family,English,Canada,6.90,FALSE,2025-01-20,FALSE
12/6/2024,Smart TV,4.00,99.80,completed,SD,FALSE,35.00,Male,USA,Standard,2023-01-25,TRUE,9.47,1.00,Little Night,Tv Series,History,2015,52,Kids,English,USA,6.80,TRUE,2022-11-15,FALSE
8/20/2025,Laptop,88.80,62.90,paused,HD,FALSE,21.00,Male,USA,Basic,2024-12-09,TRUE,12.14,3.00,War Battle,Tv Series,Adventure,1966,17,Adult,Spanish,USA,8.00,FALSE,2024-03-11,FALSE
7/15/2025,Mobile,77.50,52.80,started,4K,FALSE,29.00,Female,CANADA,Standard,2023-12-14,TRUE,2.64,2.00,House Night,Stand-Up Comedy,History,2005,31,Kids,Italian,Germany,4.70,FALSE,2023-04-30,TRUE
10/25/2024,Laptop,47.10,96.30,stopped,SD,FALSE,33.00,Male,CANADA,Premium+,2024-03-11,TRUE,26.22,2.00,My Fire,Movie,Sport,2010,92,Teens,English,Canada,7.10,FALSE,2024-08-27,FALSE
12/16/2025,Tablet,75.90,50.40,completed,HD,TRUE,46.00,Male,USA,Standard,2024-04-07,TRUE,11.28,6.00,First Kingdom,Movie,Adventure,2020,99,Kids,English,USA,5.20,FALSE,2022-11-28,FALSE
1/16/2024,Laptop,20.60,3.20,stopped,SD,FALSE,14.00,Female,CANADA,Premium,2025-01-14,TRUE,6.44,2.00,Story Legend,Documentary,Mystery,2008,103,Kids,Spanish,South Korea,9.60,FALSE,2022-04-21,TRUE
11/12/2024,Smart TV,32.80,41.30,paused,HD,FALSE,35.00,Female,USA,Premium,2025-04-17,TRUE,14.05,2.00,First Quest,Tv Series,Action,2011,70,Adult,English,USA,7.30,FALSE,2025-06-30,TRUE
9/6/2024,Laptop,94.30,49.60,completed,HD,FALSE,53.00,Other,CANADA,Standard,2023-05-21,TRUE,10.85,2.00,Family Story,Tv Series,Western,1998,43,Kids,English,USA,7.90,FALSE,2023-10-01,FALSE
12/23/2024,Mobile,34.30,36.30,completed,SD,TRUE,23.00,Female,CANADA,Premium,2024-04-19,TRUE,13.88,1.00,Kingdom Kingdom,Movie,Adventure,2003,111,Kids,German,Canada,3.00,FALSE,2025-01-02,FALSE
7/23/2024,Laptop,53.30,90.40,stopped,HD,FALSE,35.00,Female,USA,Standard,2024-09-25,TRUE,3.71,2.00,City Queen,Documentary,Family,2005,80,Teens,Spanish,USA,6.30,FALSE,2022-12-12,FALSE
11/15/2025,Mobile,28.50,82.90,started,4K,FALSE,35.00,Male,USA,Standard,2023-07-29,TRUE,7.97,2.00,Family Mystery,Tv Series,War,2002,47,Family,English,USA,6.80,FALSE,2021-02-19,FALSE
2/16/2025,Tablet,77.10,81.20,paused,HD,FALSE,35.00,Female,USA,Premium,2025-01-07,FALSE,11.73,1.00,Little Dream,Limited Series,Animation,1998,61,Kids,English,USA,3.70,TRUE,2024-07-08,TRUE
5/19/2025,Laptop,13.30,13.80,paused,4K,FALSE,27.00,Female,USA,Premium+,2023-12-25,FALSE,10.19,2.00,Dragon Day,Documentary,Western,2021,110,Family,English,UK,8.30,FALSE,2021-07-06,TRUE
11/10/2025,Smart TV,32.10,34.90,paused,4K,FALSE,35.00,Other,USA,Standard,2024-06-29,TRUE,3.36,2.00,Queen Empire,Movie,Fantasy,2022,87,Teens,Spanish,USA,7.20,TRUE,2022-03-03,FALSE
1/11/2025,Tablet,15.60,59.60,completed,HD,FALSE,35.00,Female,CANADA,Premium,2024-12-31,TRUE,12.10,3.00,Day Journey,Movie,Crime,2013,50,Family,Korean,South Korea,3.10,TRUE,2022-02-22,FALSE
3/12/2025,Laptop,105.10,16.50,stopped,HD,FALSE,29.00,Female,CANADA,Premium+,2024-08-18,TRUE,7.66,7.00,Mystery War,Tv Series,Action,1992,63,Adult,English,Canada,9.10,FALSE,2024-10-05,TRUE
8/24/2024,Tablet,112.20,49.60,stopped,4K,FALSE,26.00,Male,USA,Basic,2024-11-04,FALSE,13.17,3.00,Quest Love,Tv Series,Adventure,2004,9,Adult,English,Canada,0.50,FALSE,2023-10-24,FALSE
9/23/2024,Tablet,101.60,28.30,completed,4K,FALSE,45.00,Female,USA,Premium,2024-05-01,TRUE,24.64,2.00,Adventure Love,Stand-Up Comedy,Music,2008,43,Adult,English,Canada,7.80,FALSE,2023-10-20,TRUE
2/25/2025,Desktop,80.80,59.60,stopped,HD,TRUE,35.00,Female,USA,Standard,2023-06-30,TRUE,13.67,4.00,Kingdom Empire,Movie,Music,2009,66,Kids,English,USA,5.40,TRUE,2021-12-19,TRUE
3/29/2024,Tablet,75.20,75.50,paused,HD,FALSE,37.00,Female,USA,Premium,2023-03-31,TRUE,23.40,2.00,Last Quest,Tv Series,Biography,2015,41,Family,French,USA,6.10,FALSE,2023-08-10,FALSE
7/25/2024,Desktop,41.80,11.40,completed,SD,FALSE,16.00,Prefer not to say,USA,Standard,2025-05-26,TRUE,18.18,2.00,Princess Secret,Movie,History,2013,118,Kids,English,USA,5.10,FALSE,2025-07-21,FALSE
4/24/2024,Laptop,6.40,38.40,started,HD,TRUE,40.00,Female,USA,Premium,2023-04-02,TRUE,9.09,6.00,City Empire,Stand-Up Comedy,Horror,1961,47,Teens,Spanish,France,6.10,FALSE,2020-11-30,FALSE
11/11/2025,Mobile,44.30,49.60,stopped,4K,FALSE,33.00,Female,CANADA,Standard,2024-01-20,TRUE,4.29,1.00,Little Dream,Limited Series,Animation,1998,61,Kids,English,USA,3.70,TRUE,2024-07-08,TRUE
7/18/2025,Tablet,127.50,13.00,started,HD,FALSE,56.00,Other,USA,Premium+,2023-12-27,TRUE,14.75,4.00,Journey Empire,Tv Series,Crime,1992,58,Kids,English,UK,7.10,TRUE,2022-11-22,FALSE
8/27/2024,Tablet,121.10,53.80,paused,Ultra HD,FALSE,29.00,Male,USA,Premium,2023-01-05,TRUE,11.22,5.00,Phoenix Day,Movie,Western,1994,117,Teens,Korean,USA,8.50,FALSE,2023-07-08,FALSE
11/22/2024,Laptop,13.40,94.40,completed,SD,TRUE,28.00,Male,CANADA,Basic,2023-01-19,TRUE,34.43,4.00,Love Battle,Stand-Up Comedy,War,2022,91,Adult,English,Germany,4.40,FALSE,2020-10-15,TRUE
5/24/2025,Laptop,44.40,89.20,started,HD,FALSE,33.00,Male,USA,Basic,2022-09-10,TRUE,47.71,1.00,Legend King,Documentary,Biography,2010,71,Family,English,UK,9.50,FALSE,2023-12-06,FALSE
12/1/2024,Laptop,45.20,97.30,stopped,4K,FALSE,37.00,Female,CANADA,Basic,2024-04-30,TRUE,25.57,3.00,Quest War,Documentary,Thriller,1994,89,Teens,English,USA,4.90,FALSE,2022-02-26,FALSE
10/20/2024,Mobile,81.30,13.30,paused,HD,FALSE,35.00,Female,CANADA,Premium,2023-12-05,TRUE,3.06,2.00,War Kingdom,Stand-Up Comedy,Adventure,2006,36,Kids,English,USA,5.50,FALSE,2022-07-12,FALSE
12/7/2025,Tablet,10.50,36.70,stopped,HD,FALSE,21.00,Male,USA,Standard,2023-09-19,TRUE,33.48,3.00,Our Dream,Tv Series,Comedy,2013,37,Teens,Korean,India,9.40,TRUE,2020-12-07,FALSE
3/11/2025,Desktop,25.20,90.60,completed,4K,FALSE,33.00,Male,USA,Standard,2023-02-23,TRUE,22.57,2.00,Bright Family,Movie,Documentary,1997,65,Adult,English,USA,7.90,FALSE,2020-09-13,FALSE
